Time (UTC), Frequency (MHz),Level (dB/Hz)
1433497355.0, 87.28515625, -48.9766417945
1433497355.0, 87.287109375, -48.9773361972
1433497355.0, 87.2890625, -48.9778867153
1433497355.0, 87.291015625, -48.9777782334
1433497355.0, 87.29296875, -48.9786648114
1433497355.0, 87.294921875, -48.9793036298
1433497355.0, 87.296875, -48.9791829565
1433497355.0, 87.298828125, -48.979360917
1433497355.0, 87.30078125, -48.9795824921
1433497355.0, 87.302734375, -48.9795151791
1433497355.0, 87.3046875, -48.9795039163
1433497355.0, 87.306640625, -48.9793633893
1433497355.0, 87.30859375, -48.9800413785
1433497355.0, 87.310546875, -48.979793749
1433497355.0, 87.3125, -48.9799427511
1433497355.0, 87.314453125, -48.980329779
1433497355.0, 87.31640625, -48.9800453312
1433497355.0, 87.318359375, -48.9800412045
1433497355.0, 87.3203125, -48.9806891606
1433497355.0, 87.322265625, -48.9812004435
1433497355.0, 87.32421875, -48.9815349387
1433497355.0, 87.326171875, -48.9821757477
1433497355.0, 87.328125, -48.9820974885
1433497355.0, 87.330078125, -48.9819725824
1433497355.0, 87.33203125, -48.9821632623
1433497355.0, 87.333984375, -48.9825052537
1433497355.0, 87.3359375, -48.9823551545
1433497355.0, 87.337890625, -48.9814635603
1433497355.0, 87.33984375, -48.9814659575
1433497355.0, 87.341796875, -48.9817228991
1433497355.0, 87.34375, -48.9813901914
1433497355.0, 87.345703125, -48.9809036083
1433497355.0, 87.34765625, -48.980687818
1433497355.0, 87.349609375, -48.980631144
1433497355.0, 87.3515625, -48.9809812202
1433497355.0, 87.353515625, -48.9809549582
1433497355.0, 87.35546875, -48.9807358862
1433497355.0, 87.357421875, -48.9802079219
1433497355.0, 87.359375, -48.9798978779
1433497355.0, 87.361328125, -48.9798809032
1433497355.0, 87.36328125, -48.9793877883
1433497355.0, 87.365234375, -48.9788565746
1433497355.0, 87.3671875, -48.9783526864
1433497355.0, 87.369140625, -48.9778869383
1433497355.0, 87.37109375, -48.9777305439
1433497355.0, 87.373046875, -48.9773247501
1433497355.0, 87.375, -48.9766783162
1433497355.0, 87.376953125, -48.9761805737
1433497355.0, 87.37890625, -48.9758785177
1433497355.0, 87.380859375, -48.9758685865
1433497355.0, 87.3828125, -48.9756012087
1433497355.0, 87.384765625, -48.9756860941
1433497355.0, 87.38671875, -48.974981027
1433497355.0, 87.388671875, -48.974448152
1433497355.0, 87.390625, -48.9747654498
1433497355.0, 87.392578125, -48.9743187899
1433497355.0, 87.39453125, -48.9740415284
1433497355.0, 87.396484375, -48.9733241797
1433497355.0, 87.3984375, -48.9725802119
1433497355.0, 87.400390625, -48.9722209479
1433497355.0, 87.40234375, -48.9721402207
1433497355.0, 87.404296875, -48.9720011653
1433497355.0, 87.40625, -48.9719096869
1433497355.0, 87.408203125, -48.9717046112
1433497355.0, 87.41015625, -48.9714642744
1433497355.0, 87.412109375, -48.971237245
1433497355.0, 87.4140625, -48.971096516
1433497355.0, 87.416015625, -48.9709550175
1433497355.0, 87.41796875, -48.9707885933
1433497355.0, 87.419921875, -48.9712202597
1433497355.0, 87.421875, -48.9715174277
1433497355.0, 87.423828125, -48.9718584961
1433497355.0, 87.42578125, -48.9728850946
1433497355.0, 87.427734375, -48.9738376602
1433497355.0, 87.4296875, -48.9746841132
1433497355.0, 87.431640625, -48.9755006726
1433497355.0, 87.43359375, -48.976031844
1433497355.0, 87.435546875, -48.9766015039
1433497355.0, 87.4375, -48.9773857274
1433497355.0, 87.439453125, -48.9786405633
1433497355.0, 87.44140625, -48.9802408531
1433497355.0, 87.443359375, -48.9817490455
1433497355.0, 87.4453125, -48.9831238468
